,date,NO2,PM1,PM10,PM2.5,station_name,latitude,longitude
0,2023-05-15,18.82,11.9,9.5,11.0,Gymnasium 39,43.348459,76.84291
1,2023-05-16,22.99,13.96,13.65,16.27,Gymnasium 39,43.348459,76.84291
2,2023-05-17,22.4,13.57,14.34,15.64,Gymnasium 39,43.348459,76.84291
3,2023-05-18,20.02,12.67,9.69,9.94,Gymnasium 39,43.348459,76.84291
4,2023-05-19,19.47,21.08,13.31,13.37,Gymnasium 39,43.348459,76.84291
5,2023-05-20,16.97,11.67,8.96,10.02,Gymnasium 39,43.348459,76.84291
6,2023-05-21,16.68,15.17,9.84,10.19,Gymnasium 39,43.348459,76.84291
7,2023-05-22,19.48,18.01,12.66,12.27,Gymnasium 39,43.348459,76.84291
8,2023-05-23,21.21,15.06,11.32,11.9,Gymnasium 39,43.348459,76.84291
9,2023-05-24,21.0,22.87,17.47,18.87,Gymnasium 39,43.348459,76.84291
10,2023-05-25,20.65,21.95,15.69,17.89,Gymnasium 39,43.348459,76.84291
11,2023-05-26,21.42,13.6,11.78,13.88,Gymnasium 39,43.348459,76.84291
12,2023-05-27,16.14,13.0,10.69,12.36,Gymnasium 39,43.348459,76.84291
13,2023-05-28,17.98,14.0,12.33,14.18,Gymnasium 39,43.348459,76.84291
14,2023-05-29,18.0,9.92,9.83,12.33,Gymnasium 39,43.348459,76.84291
15,2023-05-30,21.67,14.67,11.83,14.25,Gymnasium 39,43.348459,76.84291
16,2023-05-31,20.22,14.61,12.8,15.26,Gymnasium 39,43.348459,76.84291
17,2023-06-01,17.25,9.39,9.25,11.97,Gymnasium 39,43.348459,76.84291
18,2023-06-02,19.46,8.18,8.99,11.78,Gymnasium 39,43.348459,76.84291
19,2023-06-03,24.75,18.63,14.64,16.98,Gymnasium 39,43.348459,76.84291
20,2023-06-04,21.79,13.3,13.66,16.01,Gymnasium 39,43.348459,76.84291
21,2023-06-05,22.36,12.11,12.91,15.22,Gymnasium 39,43.348459,76.84291
22,2023-06-06,25.75,10.9,13.0,15.23,Gymnasium 39,43.348459,76.84291
23,2023-06-07,29.02,11.97,13.48,15.36,Gymnasium 39,43.348459,76.84291
24,2023-06-08,31.22,15.3,15.24,17.36,Gymnasium 39,43.348459,76.84291
25,2023-06-09,26.9,9.64,10.96,14.08,Gymnasium 39,43.348459,76.84291
26,2023-06-10,22.69,9.02,10.38,12.02,Gymnasium 39,43.348459,76.84291
27,2023-06-11,18.38,12.71,11.21,11.48,Gymnasium 39,43.348459,76.84291
28,2023-06-12,17.93,11.08,11.99,14.32,Gymnasium 39,43.348459,76.84291
29,2023-06-13,19.77,22.57,23.29,24.26,Gymnasium 39,43.348459,76.84291
30,2023-06-14,21.79,16.45,14.84,16.86,Gymnasium 39,43.348459,76.84291
31,2023-06-15,22.24,10.28,12.28,15.61,Gymnasium 39,43.348459,76.84291
32,2023-06-16,22.3,11.31,11.56,14.63,Gymnasium 39,43.348459,76.84291
33,2023-06-17,23.19,12.98,12.43,16.61,Gymnasium 39,43.348459,76.84291
34,2023-06-18,28.23,21.22,21.03,22.27,Gymnasium 39,43.348459,76.84291
35,2023-06-19,26.12,10.36,12.74,15.61,Gymnasium 39,43.348459,76.84291
36,2023-06-20,23.16,14.09,12.79,13.43,Gymnasium 39,43.348459,76.84291
37,2023-06-21,28.62,24.63,18.38,16.07,Gymnasium 39,43.348459,76.84291
38,2023-06-22,21.68,16.62,13.81,14.38,Gymnasium 39,43.348459,76.84291
39,2023-06-23,17.37,9.99,12.38,14.22,Gymnasium 39,43.348459,76.84291
40,2023-06-24,18.91,14.31,15.0,16.82,Gymnasium 39,43.348459,76.84291
41,2023-06-25,16.2,6.79,8.24,9.86,Gymnasium 39,43.348459,76.84291
42,2023-06-26,29.74,30.76,21.39,21.12,Gymnasium 39,43.348459,76.84291
43,2023-06-27,20.22,8.86,10.63,12.48,Gymnasium 39,43.348459,76.84291
44,2023-06-28,18.77,6.84,9.5,11.49,Gymnasium 39,43.348459,76.84291
45,2023-06-29,21.0,8.36,8.52,9.41,Gymnasium 39,43.348459,76.84291
46,2023-06-30,25.27,14.46,11.19,11.58,Gymnasium 39,43.348459,76.84291
47,2023-07-01,24.13,12.61,10.96,12.49,Gymnasium 39,43.348459,76.84291
48,2023-07-02,24.2,16.39,15.27,16.94,Gymnasium 39,43.348459,76.84291
49,2023-07-03,23.72,12.28,12.86,15.91,Gymnasium 39,43.348459,76.84291
50,2023-07-04,22.48,8.08,9.71,13.0,Gymnasium 39,43.348459,76.84291
51,2023-07-05,22.43,13.14,10.64,10.57,Gymnasium 39,43.348459,76.84291
52,2023-07-06,23.76,13.23,10.78,10.6,Gymnasium 39,43.348459,76.84291
53,2023-07-07,24.08,23.1,14.67,13.47,Gymnasium 39,43.348459,76.84291
54,2023-07-08,19.98,13.17,9.56,9.46,Gymnasium 39,43.348459,76.84291
55,2023-07-09,22.03,21.28,15.44,14.57,Gymnasium 39,43.348459,76.84291
56,2023-07-10,21.27,23.43,18.1,17.92,Gymnasium 39,43.348459,76.84291
57,2023-07-11,19.76,14.97,12.7,13.53,Gymnasium 39,43.348459,76.84291
58,2023-07-12,20.74,11.61,12.22,15.72,Gymnasium 39,43.348459,76.84291
